Timestamp,GroundTruth,Prediction
2021-01-25,179,179
2021-01-26,174,89
2021-01-27,178,200
2021-01-28,186,190
2021-01-29,190,195
2021-01-30,84,182
2021-02-01,170,179
2021-02-02,154,89
2021-02-03,160,200
2021-02-04,131,190
2021-02-05,184,195
2021-02-06,76,182
2021-02-08,183,179
2021-02-09,178,89
2021-02-10,162,200
2021-02-11,160,190
2021-02-12,205,195
2021-02-13,90,182
2021-02-15,184,179
2021-02-16,180,89
2021-02-17,185,200
2021-02-18,187,190
2021-02-19,187,195
2021-02-20,85,182
2021-02-22,178,179
2021-02-23,87,89
2021-02-25,179,200
2021-02-26,153,190
2021-02-27,65,195
2021-03-01,146,182
2021-03-02,165,179
2021-03-03,149,89
2021-03-04,166,200
2021-03-05,168,190
2021-03-06,89,195
2021-03-08,156,182
2021-03-09,159,179
2021-03-10,85,89
2021-04-05,155,200
2021-04-06,147,190
2021-04-07,136,195
2021-04-08,144,182
2021-04-09,139,179
2021-04-10,53,89
2021-04-12,170,200
2021-04-13,151,190
2021-04-14,147,195
2021-04-15,156,182
2021-04-16,131,179
2021-04-17,56,89
2021-04-19,161,200
2021-04-20,160,190
2021-04-21,131,195
2021-04-22,140,182
2021-04-23,140,179
2021-04-24,57,89
2021-04-26,150,200
2021-04-27,108,190
2021-04-28,101,195
2021-04-29,113,182
2021-04-30,118,179
2021-05-03,144,89
2021-05-04,144,200
2021-05-05,171,190
2021-05-06,160,195
2021-05-07,151,182
2021-05-08,64,179
2021-05-10,192,89
2021-05-11,148,200
2021-05-12,154,190
2021-05-13,181,195
2021-05-14,175,182
2021-05-15,71,179
2021-05-17,208,89
2021-05-18,184,200
2021-05-19,156,190
2021-05-20,139,195
2021-05-21,147,182
2021-05-22,69,179
2021-05-24,188,89
2021-05-25,183,200
2021-05-26,187,190
2021-05-27,145,195
2021-05-28,157,182
2021-05-29,73,179
2021-05-31,188,89
2021-06-01,159,200
2021-06-02,156,190
2021-06-03,137,195
2021-06-04,184,182
2021-06-05,77,179
2021-06-14,184,89
2021-06-15,190,200
2021-06-16,167,190
2021-06-17,176,195
2021-06-21,182,182
2021-06-22,106,179
2021-06-25,165,89
2021-06-26,62,200
2021-06-28,181,190
2021-06-29,171,195
2021-06-30,142,182
2021-07-01,167,179
